2018-09-12 19:27:48,879 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-09-12 19:27:48,882 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-09-12 19:27:49,063 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-09-12 19:27:49,173 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-09-12 19:27:49,176 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-09-12 19:27:49,177 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-09-12 19:27:49,210 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-09-12 19:27:49,210 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-09-12 19:27:49,213 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.334 seconds
2018-09-12 19:27:54,218 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-09-12 19:27:54,219 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-09-12 19:27:54,224 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-09-12 19:27:54,225 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-09-12 19:27:54,246 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.370 seconds
2018-09-12 19:27:54,247 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.028 seconds
2018-09-12 19:28:26,669 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-09-12 19:28:26,673 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-09-12 19:28:26,855 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-09-12 19:28:26,975 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-09-12 19:28:26,979 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-09-12 19:28:26,979 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-09-12 19:28:27,013 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-09-12 19:28:27,014 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-09-12 19:28:27,017 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.348 seconds
2018-09-12 19:28:32,020 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-09-12 19:28:32,021 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
